objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7885,W05000108,Tudweiliog,Tudweiliog,224651,335425,-4.60769987,52.88761902,35530169.7991593,45027.1187732177
7886,W05000109,Tywyn,Tywyn,260229,300318,-4.06436014,52.58266068,27874762.9862126,34821.5564308647
7887,W05000110,Waunfawr,Waunfawr,255064,357382,-4.16590023,53.09392166,53262331.3607123,49835.4346098239
7888,W05000111,Y Felinheli,Y Felinheli,251932,366515,-4.21685982,53.17509842,5894418.6592182,16319.6453914228
7889,W05000112,Abergele Pensarn,Abergele Pen-sarn,295352,378348,-3.57140994,53.29174042,2346975.49734105,7363.93860083223
7890,W05000113,Betws-y-Coed,Betws-y-Coed,273034,356029,-3.89717007,53.08634186,155633726.094944,73892.7871867749
7891,W05000114,Betws yn Rhos,Betws yn Rhos,289598,371375,-3.65528011,53.22792053,91264015.2723332,61346.3668723549
7892,W05000115,Bryn,Bryn,268618,373441,-3.97022009,53.24169922,9745147.18002062,20982.9124707579
7893,W05000116,Caerhun,Caerhun,273898,370250,-3.88988996,53.21430969,75801915.3219176,50899.4560973023
7894,W05000117,Capelulo,Capel Lluo,274360,377135,-3.88568997,53.27627945,5076427.00057631,10989.2078973074
7895,W05000118,Colwyn,Colwyn,287679,378251,-3.68643999,53.28929138,1746680.48731181,7509.7336693459
7896,W05000119,Conwy,Conwy,276895,378490,-3.84822011,53.28903961,6060843.53521536,17159.5344929055
7897,W05000121,Crwst,Crwst,280531,360860,-3.78710008,53.13148117,3985181.55795836,11332.8774303635
7898,W05000123,Eglwysbach,Eglwysbach,281013,367756,-3.78245997,53.19355011,53564071.9385562,36267.4721070226
7899,W05000124,Eirias,Eirias,286728,377349,-3.70038009,53.2809906,2196419.11450183,8713.1378530458
7900,W05000125,Gele,Gele,296602,376031,-3.55190992,53.27116013,12728772.438273,24487.955090891
7901,W05000126,Glyn,Glyn,285310,377190,-3.72158003,53.2792511,2878924.73915341,10922.7521251203
7902,W05000127,Gogarth,Gogarth,276905,383117,-3.84986997,53.33061981,5333306.02320914,11309.6417683652
7903,W05000128,Gower,Gyr,280017,362456,-3.7953701,53.14570999,1262780.57894938,5556.48934114874
7904,W05000129,Kinmel Bay,Bae Cinmel,299227,379304,-3.51360011,53.3010788,4714150.65610814,14446.7238228097
7905,W05000130,Llanddulas,Llanddulas,291600,377301,-3.62732005,53.28158188,5092444.37913277,11779.2789602407
7906,W05000131,Llandrillo yn Rhos,Llandrillo yn Rhos,283299,380399,-3.75289989,53.30765152,3121673.49424079,9175.27884387799
7907,W05000132,Llangernyw,Llangernyw,288422,359671,-3.66880012,53.122509,123873393.71441,73899.8283191647
7908,W05000133,Llansanffraid,Llansanffraid,281320,375365,-3.78070998,53.26197815,17481679.8428439,23683.3743982112
7909,W05000134,Llansannan,Llansannan,296278,364546,-3.55303001,53.16790009,126155694.591687,63535.562801541
7910,W05000135,Llysfaen,Llysfaen,289176,377304,-3.66366005,53.28110123,5666320.16292106,11464.1701891759
7911,W05000137,Mochdre,Mochdre,282685,378181,-3.76129007,53.28757858,2809050.1702753,10667.4011652406
7912,W05000138,Mostyn,Mostyn,277873,381593,-3.83474994,53.31715012,1246728.7980516,6958.87682739218
7913,W05000139,Pandy,Pandy,270870,373938,-3.93670011,53.24671936,8204257.25214382,13493.953279384
7914,W05000140,Pant-yr-afon/Penmaenan,Pant-yr-afon/Penmaenan,272828,374719,-3.90768003,53.25421143,10190288.197201,16863.7211332646
